35.8.12.6,1,2
141.213.3.180,1,2
35.9.123.51,1,2
141.212.114.146,1,2
198.109.240.117,1,2
192.111.54.90,1,2
35.9.170.26,1,2
136.228.36.129,1,2
173.225.190.60,1,2
64.113.57.131,1,2
198.108.253.105,1,2
141.211.32.200,1,2
141.211.211.110,1,2
208.79.208.69,1,2
208.64.36.220,1,2
35.9.66.221,1,2
208.64.36.221,1,2
141.211.4.26,1,2
153.106.206.12,1,2
35.8.12.31,2,4
141.193.178.147,1,2
35.9.170.19,1,2
141.211.184.32,1,2
64.113.59.233,2,4
64.113.57.173,2,4
141.211.3.77,1,2
141.193.177.208,1,2
141.193.178.190,1,2
64.113.57.32,1,2
141.211.32.202,1,2
141.211.3.24,1,2
141.211.211.216,1,2
164.76.158.98,1,2
141.216.78.178,1,2
192.41.236.107,1,2
141.219.44.34,1,2
141.211.229.18,1,2
64.113.50.106,1,2
206.57.244.133,1,2
208.79.209.158,1,2
64.113.57.201,1,2
35.8.12.171,1,2
35.8.12.168,1,2
141.218.23.52,2,4
64.113.59.196,2,4
207.190.191.187,1,2
141.212.114.204,1,2
141.211.4.122,1,2
35.8.223.39,1,2
198.109.24.134,1,2
208.79.212.226,1,2
35.9.97.144,1,2
141.211.7.150,1,2
