148.61.6.55,1,2
136.228.45.210,1,2
35.9.123.51,1,2
141.212.114.102,1,2
192.41.230.8,1,2
141.214.159.165,2,4
141.193.178.70,1,2
198.109.227.18,1,2
208.64.38.12,1,2
141.211.3.49,1,2
64.113.59.45,1,2
198.110.199.59,1,2
141.214.186.46,1,2
136.228.36.65,1,2
141.216.10.253,1,2
141.211.7.146,1,2
35.9.37.62,1,2
64.113.59.156,1,2
35.8.202.88,1,2
35.9.15.166,1,2
192.111.54.247,1,2
136.228.36.129,2,4
64.113.50.9,1,2
141.193.178.39,1,2
64.113.50.217,1,2
64.113.50.226,1,2
208.92.221.162,1,2
64.113.59.86,1,2
64.113.59.20,1,2
35.8.33.118,1,2
35.8.12.124,1,2
141.211.54.180,1,2
141.213.3.97,1,2
141.193.177.203,1,2
198.110.203.113,1,2
208.64.38.4,1,2
141.193.177.175,1,2
207.75.208.142,1,2
141.211.94.208,1,2
141.211.124.67,1,2
35.8.12.123,1,2
141.211.184.20,1,2
35.39.164.211,1,2
136.228.34.42,2,4
207.73.217.21,1,2
66.202.198.75,1,2
64.113.57.94,1,2
208.64.38.222,1,2
64.113.57.178,1,2
64.113.50.48,1,2
206.57.232.232,1,2
74.3.177.35,1,2
141.212.113.155,1,2
192.111.54.252,1,2
198.111.181.23,1,2
198.110.200.31,1,2
141.214.16.37,1,2
198.111.56.10,1,2
204.11.35.179,1,2
208.92.219.147,1,2
64.113.59.113,1,2
208.64.38.212,1,2
141.214.2.170,1,2
173.225.178.60,1,2
199.16.184.35,1,2
204.11.35.234,1,2
64.113.59.133,1,2
192.111.54.251,1,2
35.9.188.100,1,2
199.102.68.194,1,2
141.216.10.21,1,2
207.73.7.25,1,2
74.3.176.130,1,2
136.228.35.149,1,2
208.79.208.73,1,2
141.211.3.63,1,2
141.219.84.61,2,4
153.106.200.44,1,2
141.211.182.79,1,2
141.211.185.69,1,2
35.8.12.53,1,2
141.216.4.82,1,2
141.211.217.147,1,2
141.217.0.43,1,2
141.211.4.154,1,2
199.16.184.229,1,2
153.106.200.160,1,2
35.8.48.41,1,2
141.211.55.58,1,2
141.211.217.35,1,2
141.193.178.170,2,4
198.245.194.37,1,2
141.218.143.80,1,2
141.217.1.52,1,2
204.38.0.35,1,2
204.38.32.121,1,2
141.193.178.194,1,2
141.193.177.205,1,2
141.211.186.135,1,2
136.228.38.48,1,2
141.193.178.109,1,2
141.193.177.128,1,2
141.193.177.34,1,2
141.211.3.46,1,2
64.113.59.233,1,2
141.209.15.27,1,2
141.216.10.15,1,2
64.113.59.90,1,2
141.214.11.47,1,2
173.225.176.20,1,2
64.235.150.114,1,2
64.113.50.106,1,2
207.75.152.6,1,2
35.9.75.54,1,2
173.225.190.62,1,2
35.8.12.67,1,2
198.108.220.101,1,2
35.8.223.221,1,2
64.113.57.121,1,2
141.212.114.224,1,2
141.213.3.29,1,2
64.113.50.167,1,2
136.228.35.41,1,2
141.216.10.36,2,4
141.193.177.225,1,2
66.202.198.67,1,2
141.214.147.14,1,2
198.110.48.50,1,2
141.216.10.87,1,2
141.211.4.162,1,2
207.75.118.85,1,2
35.9.75.201,1,2
141.211.3.79,1,2
204.11.32.110,1,2
141.214.2.71,1,2
64.113.57.110,1,2
141.193.179.7,1,2
207.75.164.128,1,2
35.8.12.220,1,2
35.8.12.63,1,2
141.193.178.14,1,2
141.211.4.244,1,2
141.211.43.122,1,2
204.11.35.231,1,2
35.9.14.89,1,2
35.9.123.3,1,2
141.214.65.238,1,2
141.214.9.162,1,2
141.209.28.76,1,2
207.72.6.57,1,2
207.190.178.21,1,2
141.217.20.206,1,2
136.228.36.59,1,2
208.64.36.154,1,2
192.111.54.90,1,2
141.211.54.235,1,2
35.8.223.11,1,2
141.211.229.121,1,2
141.217.20.74,1,2
64.113.59.48,1,2
141.217.0.208,1,2
136.228.36.83,1,2
64.113.57.120,1,2
141.210.164.139,1,2
35.9.83.132,1,2
35.8.12.15,1,2
192.111.54.40,1,2
173.225.178.55,1,2
64.113.50.41,1,2
206.57.162.50,1,2
141.193.178.169,1,2
35.9.75.42,1,2
141.217.20.48,1,2
64.113.59.106,1,2
141.214.2.107,1,2
35.8.12.117,1,2
35.9.2.84,1,2
153.106.169.13,1,2
74.3.176.11,1,2
35.8.100.229,1,2
35.8.7.135,1,2
64.113.59.147,1,2
207.74.167.46,1,2
69.58.58.130,1,2
141.211.55.16,1,2
207.190.176.162,1,2
207.73.186.9,1,2
35.8.12.225,1,2
141.213.154.101,1,2
198.110.48.37,1,2
208.79.208.74,1,2
64.113.59.108,1,2
204.38.22.29,2,4
66.202.198.77,2,4
141.193.178.60,1,2
141.193.177.87,1,2
35.8.7.152,1,2
207.75.234.46,1,2
74.3.176.28,1,2
141.211.55.39,1,2
141.211.182.44,1,2
173.225.191.162,1,2
198.110.48.206,1,2
208.79.212.198,1,2
141.214.172.223,1,2
141.193.178.176,1,2
141.218.1.74,1,2
198.111.152.227,1,2
141.193.177.215,1,2
141.211.3.15,1,2
141.193.177.236,1,2
207.74.55.30,1,2
192.41.230.11,1,2
64.113.57.49,1,2
208.64.38.221,2,4
199.242.31.60,1,2
141.211.3.68,1,2
198.109.24.134,1,2
141.211.168.169,1,2
198.110.48.24,1,2
35.9.75.35,1,2
141.209.28.87,1,2
204.38.89.104,1,2
141.216.10.30,1,2
198.108.218.114,1,2
35.9.15.155,1,2
141.211.4.44,1,2
141.216.10.43,1,2
141.214.2.72,2,4
141.212.114.154,1,2
207.75.211.2,1,2
35.39.164.216,1,2
207.190.191.122,1,2
141.211.4.145,1,2
207.75.118.69,1,2
35.8.12.182,1,2
35.8.12.160,1,2
141.211.3.86,1,2
64.113.59.80,1,2
173.225.177.21,1,2
141.193.178.171,1,2
35.8.12.54,1,2
141.193.177.98,1,2
141.211.4.109,1,2
153.106.194.110,1,2
206.57.177.213,1,2
141.193.178.2,1,2
35.8.223.39,2,4
35.8.223.223,1,2
208.92.218.181,1,2
64.113.50.195,1,2
192.41.231.42,1,2
207.73.213.114,1,2
207.190.191.121,1,2
199.16.185.141,1,2
136.228.36.163,1,2
141.193.178.166,1,2
192.108.188.77,1,2
35.8.12.162,1,2
141.211.54.245,1,2
136.228.56.138,1,2
198.108.220.111,1,2
141.193.178.147,1,2
198.111.152.200,1,2
64.113.57.234,1,2
198.109.240.120,1,2
136.228.35.106,1,2
141.211.235.34,1,2
141.213.3.16,1,2
208.64.36.79,1,2
141.217.0.183,1,2
192.122.184.177,1,2
35.8.202.13,1,2
141.213.152.70,1,2
141.211.5.124,1,2
199.16.184.122,1,2
192.41.230.63,1,2
141.215.69.68,1,2
192.111.54.38,1,2
35.9.86.45,1,2
66.202.198.88,1,2
198.111.176.217,1,2
141.211.3.8,1,2
207.74.75.100,1,2
198.110.199.68,1,2
64.113.50.173,1,2
199.16.185.138,1,2
141.212.115.163,1,2
141.193.177.43,1,2
208.92.220.106,1,2
141.211.4.73,1,2
141.211.182.114,1,2
141.193.177.220,1,2
141.211.147.142,1,2
35.8.7.175,1,2
74.3.176.126,1,2
141.211.3.23,1,2
141.211.211.93,2,4
204.11.35.176,1,2
206.57.160.127,1,2
141.193.178.242,1,2
163.253.36.232,1,2
208.64.38.219,1,2
198.110.199.70,1,2
141.210.164.136,1,2
35.9.188.68,1,2
153.106.200.170,1,2
35.8.32.168,1,2
35.8.12.89,1,2
35.8.188.222,1,2
141.211.55.55,1,2
141.217.1.99,1,2
207.73.213.109,1,2
207.75.55.92,1,2
141.211.168.170,1,2
35.9.18.66,1,2
141.211.54.239,1,2
141.193.178.122,1,2
164.76.158.222,1,2
198.108.140.64,1,2
141.211.200.108,1,2
141.214.159.64,1,2
207.75.234.81,1,2
35.9.189.163,1,2
35.8.12.3,1,2
141.193.177.35,1,2
141.211.217.89,1,2
35.9.66.226,1,2
141.214.120.19,1,2
141.211.94.176,1,2
35.9.15.170,1,2
64.113.57.86,1,2
207.73.7.12,1,2
208.92.218.235,1,2
141.211.3.21,1,2
35.8.12.181,1,2
141.214.2.91,1,2
35.8.7.169,1,2
136.228.39.25,1,2
141.217.42.231,1,2
198.109.227.22,1,2
64.113.50.10,2,4
141.216.116.31,1,2
141.193.177.9,1,2
198.109.24.40,1,2
35.12.4.11,1,2
141.214.253.72,1,2
208.79.212.215,1,2
136.228.38.197,1,2
64.113.50.98,1,2
198.111.162.164,1,2
208.68.24.162,1,2
141.211.4.214,1,2
204.38.48.101,1,2
64.113.50.120,1,2
141.211.7.164,1,2
141.211.95.9,1,2
141.212.113.17,1,2
141.211.3.9,1,2
35.9.66.214,1,2
